Size of blocks: 146; Amount of blocks: 900; Duration for sequential: 330; Duration for thread: 105; Speed up: 3.14286
Size of blocks: 147; Amount of blocks: 900; Duration for sequential: 327; Duration for thread: 108; Speed up: 3.02778
Size of blocks: 148; Amount of blocks: 900; Duration for sequential: 328; Duration for thread: 123; Speed up: 2.66667
Size of blocks: 149; Amount of blocks: 900; Duration for sequential: 335; Duration for thread: 99; Speed up: 3.38384
Size of blocks: 150; Amount of blocks: 600; Duration for sequential: 341; Duration for thread: 99; Speed up: 3.44444
Size of blocks: 151; Amount of blocks: 600; Duration for sequential: 331; Duration for thread: 96; Speed up: 3.44792
Size of blocks: 152; Amount of blocks: 600; Duration for sequential: 331; Duration for thread: 109; Speed up: 3.0367
Size of blocks: 153; Amount of blocks: 600; Duration for sequential: 344; Duration for thread: 111; Speed up: 3.0991
Size of blocks: 154; Amount of blocks: 600; Duration for sequential: 328; Duration for thread: 110; Speed up: 2.98182
Size of blocks: 155; Amount of blocks: 600; Duration for sequential: 326; Duration for thread: 105; Speed up: 3.10476
Size of blocks: 156; Amount of blocks: 600; Duration for sequential: 333; Duration for thread: 105; Speed up: 3.17143
Size of blocks: 157; Amount of blocks: 600; Duration for sequential: 332; Duration for thread: 116; Speed up: 2.86207
Size of blocks: 158; Amount of blocks: 600; Duration for sequential: 329; Duration for thread: 105; Speed up: 3.13333
Size of blocks: 159; Amount of blocks: 600; Duration for sequential: 338; Duration for thread: 99; Speed up: 3.41414
Size of blocks: 160; Amount of blocks: 600; Duration for sequential: 332; Duration for thread: 105; Speed up: 3.1619
Size of blocks: 161; Amount of blocks: 600; Duration for sequential: 328; Duration for thread: 94; Speed up: 3.48936
Size of blocks: 162; Amount of blocks: 600; Duration for sequential: 331; Duration for thread: 120; Speed up: 2.75833
Size of blocks: 163; Amount of blocks: 600; Duration for sequential: 336; Duration for thread: 102; Speed up: 3.29412
Size of blocks: 164; Amount of blocks: 600; Duration for sequential: 334; Duration for thread: 133; Speed up: 2.51128
Size of blocks: 165; Amount of blocks: 600; Duration for sequential: 333; Duration for thread: 131; Speed up: 2.54198
Size of blocks: 166; Amount of blocks: 600; Duration for sequential: 326; Duration for thread: 120; Speed up: 2.71667
Size of blocks: 167; Amount of blocks: 600; Duration for sequential: 331; Duration for thread: 115; Speed up: 2.87826
Size of blocks: 168; Amount of blocks: 600; Duration for sequential: 335; Duration for thread: 125; Speed up: 2.68
Size of blocks: 169; Amount of blocks: 600; Duration for sequential: 329; Duration for thread: 136; Speed up: 2.41912
Size of blocks: 170; Amount of blocks: 600; Duration for sequential: 334; Duration for thread: 149; Speed up: 2.24161
Size of blocks: 171; Amount of blocks: 600; Duration for sequential: 333; Duration for thread: 109; Speed up: 3.05505
Size of blocks: 172; Amount of blocks: 600; Duration for sequential: 329; Duration for thread: 110; Speed up: 2.99091
Size of blocks: 173; Amount of blocks: 600; Duration for sequential: 333; Duration for thread: 131; Speed up: 2.54198
Size of blocks: 174; Amount of blocks: 600; Duration for sequential: 327; Duration for thread: 137; Speed up: 2.38686
Size of blocks: 175; Amount of blocks: 600; Duration for sequential: 333; Duration for thread: 128; Speed up: 2.60156
Size of blocks: 176; Amount of blocks: 600; Duration for sequential: 329; Duration for thread: 113; Speed up: 2.9115
Size of blocks: 177; Amount of blocks: 600; Duration for sequential: 331; Duration for thread: 122; Speed up: 2.71311
Size of blocks: 178; Amount of blocks: 600; Duration for sequential: 328; Duration for thread: 129; Speed up: 2.54264
Size of blocks: 179; Amount of blocks: 600; Duration for sequential: 331; Duration for thread: 130; Speed up: 2.54615
Size of blocks: 180; Amount of blocks: 600; Duration for sequential: 327; Duration for thread: 133; Speed up: 2.45865
Size of blocks: 181; Amount of blocks: 600; Duration for sequential: 333; Duration for thread: 123; Speed up: 2.70732
Size of blocks: 182; Amount of blocks: 600; Duration for sequential: 336; Duration for thread: 159; Speed up: 2.11321
Size of blocks: 183; Amount of blocks: 600; Duration for sequential: 335; Duration for thread: 129; Speed up: 2.5969
Size of blocks: 184; Amount of blocks: 600; Duration for sequential: 334; Duration for thread: 163; Speed up: 2.04908
Size of blocks: 185; Amount of blocks: 600; Duration for sequential: 331; Duration for thread: 137; Speed up: 2.41606
Size of blocks: 186; Amount of blocks: 600; Duration for sequential: 329; Duration for thread: 151; Speed up: 2.17881
Size of blocks: 187; Amount of blocks: 600; Duration for sequential: 328; Duration for thread: 158; Speed up: 2.07595
Size of blocks: 188; Amount of blocks: 600; Duration for sequential: 335; Duration for thread: 131; Speed up: 2.55725
Size of blocks: 189; Amount of blocks: 600; Duration for sequential: 329; Duration for thread: 130; Speed up: 2.53077
Size of blocks: 190; Amount of blocks: 600; Duration for sequential: 326; Duration for thread: 159; Speed up: 2.05031
Size of blocks: 191; Amount of blocks: 600; Duration for sequential: 326; Duration for thread: 139; Speed up: 2.34532
Size of blocks: 192; Amount of blocks: 600; Duration for sequential: 330; Duration for thread: 151; Speed up: 2.18543
Size of blocks: 193; Amount of blocks: 600; Duration for sequential: 334; Duration for thread: 150; Speed up: 2.22667
Size of blocks: 194; Amount of blocks: 600; Duration for sequential: 332; Duration for thread: 162; Speed up: 2.04938
Size of blocks: 195; Amount of blocks: 600; Duration for sequential: 338; Duration for thread: 150; Speed up: 2.25333
Size of blocks: 196; Amount of blocks: 600; Duration for sequential: 335; Duration for thread: 175; Speed up: 1.91429
Size of blocks: 197; Amount of blocks: 600; Duration for sequential: 334; Duration for thread: 159; Speed up: 2.10063
Size of blocks: 198; Amount of blocks: 600; Duration for sequential: 326; Duration for thread: 150; Speed up: 2.17333
Size of blocks: 199; Amount of blocks: 600; Duration for sequential: 327; Duration for thread: 177; Speed up: 1.84746
Size of blocks: 200; Amount of blocks: 600; Duration for sequential: 330; Duration for thread: 171; Speed up: 1.92982
Size of blocks: 201; Amount of blocks: 600; Duration for sequential: 330; Duration for thread: 181; Speed up: 1.8232
Size of blocks: 202; Amount of blocks: 600; Duration for sequential: 326; Duration for thread: 148; Speed up: 2.2027
Size of blocks: 203; Amount of blocks: 600; Duration for sequential: 336; Duration for thread: 193; Speed up: 1.74093
Size of blocks: 204; Amount of blocks: 600; Duration for sequential: 340; Duration for thread: 157; Speed up: 2.16561
Size of blocks: 205; Amount of blocks: 600; Duration for sequential: 333; Duration for thread: 167; Speed up: 1.99401
Size of blocks: 206; Amount of blocks: 600; Duration for sequential: 334; Duration for thread: 162; Speed up: 2.06173
Size of blocks: 207; Amount of blocks: 600; Duration for sequential: 338; Duration for thread: 163; Speed up: 2.07362
Size of blocks: 208; Amount of blocks: 600; Duration for sequential: 326; Duration for thread: 172; Speed up: 1.89535
Size of blocks: 209; Amount of blocks: 600; Duration for sequential: 330; Duration for thread: 175; Speed up: 1.88571
Size of blocks: 210; Amount of blocks: 600; Duration for sequential: 326; Duration for thread: 160; Speed up: 2.0375
Size of blocks: 211; Amount of blocks: 600; Duration for sequential: 341; Duration for thread: 163; Speed up: 2.09202
Size of blocks: 212; Amount of blocks: 600; Duration for sequential: 332; Duration for thread: 172; Speed up: 1.93023
Size of blocks: 213; Amount of blocks: 600; Duration for sequential: 339; Duration for thread: 169; Speed up: 2.00592
Size of blocks: 214; Amount of blocks: 600; Duration for sequential: 327; Duration for thread: 166; Speed up: 1.96988
Size of blocks: 215; Amount of blocks: 600; Duration for sequential: 333; Duration for thread: 174; Speed up: 1.91379
Size of blocks: 216; Amount of blocks: 600; Duration for sequential: 327; Duration for thread: 190; Speed up: 1.72105
Size of blocks: 217; Amount of blocks: 600; Duration for sequential: 339; Duration for thread: 178; Speed up: 1.90449
Size of blocks: 218; Amount of blocks: 600; Duration for sequential: 334; Duration for thread: 182; Speed up: 1.83516
Size of blocks: 219; Amount of blocks: 600; Duration for sequential: 328; Duration for thread: 174; Speed up: 1.88506
Size of blocks: 220; Amount of blocks: 600; Duration for sequential: 327; Duration for thread: 185; Speed up: 1.76757
Size of blocks: 221; Amount of blocks: 600; Duration for sequential: 332; Duration for thread: 177; Speed up: 1.87571
Size of blocks: 222; Amount of blocks: 600; Duration for sequential: 338; Duration for thread: 186; Speed up: 1.8172
Size of blocks: 223; Amount of blocks: 600; Duration for sequential: 333; Duration for thread: 227; Speed up: 1.46696
Size of blocks: 224; Amount of blocks: 600; Duration for sequential: 326; Duration for thread: 197; Speed up: 1.65482
Size of blocks: 225; Amount of blocks: 600; Duration for sequential: 330; Duration for thread: 195; Speed up: 1.69231
Size of blocks: 226; Amount of blocks: 600; Duration for sequential: 327; Duration for thread: 262; Speed up: 1.24809
Size of blocks: 227; Amount of blocks: 600; Duration for sequential: 342; Duration for thread: 194; Speed up: 1.76289
Size of blocks: 228; Amount of blocks: 600; Duration for sequential: 326; Duration for thread: 189; Speed up: 1.72487
Size of blocks: 229; Amount of blocks: 600; Duration for sequential: 326; Duration for thread: 205; Speed up: 1.59024
Size of blocks: 230; Amount of blocks: 600; Duration for sequential: 328; Duration for thread: 220; Speed up: 1.49091
Size of blocks: 231; Amount of blocks: 600; Duration for sequential: 335; Duration for thread: 211; Speed up: 1.58768
Size of blocks: 232; Amount of blocks: 600; Duration for sequential: 340; Duration for thread: 195; Speed up: 1.74359
Size of blocks: 233; Amount of blocks: 600; Duration for sequential: 333; Duration for thread: 201; Speed up: 1.65672
Size of blocks: 234; Amount of blocks: 600; Duration for sequential: 329; Duration for thread: 214; Speed up: 1.53738
Size of blocks: 235; Amount of blocks: 600; Duration for sequential: 327; Duration for thread: 201; Speed up: 1.62687
Size of blocks: 236; Amount of blocks: 600; Duration for sequential: 327; Duration for thread: 208; Speed up: 1.57212
Size of blocks: 237; Amount of blocks: 600; Duration for sequential: 331; Duration for thread: 216; Speed up: 1.53241
Size of blocks: 238; Amount of blocks: 600; Duration for sequential: 327; Duration for thread: 215; Speed up: 1.52093
Size of blocks: 239; Amount of blocks: 600; Duration for sequential: 326; Duration for thread: 207; Speed up: 1.57488
Size of blocks: 240; Amount of blocks: 600; Duration for sequential: 331; Duration for thread: 209; Speed up: 1.58373
Size of blocks: 241; Amount of blocks: 600; Duration for sequential: 333; Duration for thread: 216; Speed up: 1.54167
